Strain,Condition,Time,OD600
EC-249,+ade,0.0,0.08413454308485788
EC-249,+ade,0.20202020202020202,0.05464847732804809
EC-249,+ade,0.40404040404040403,0.07888053241216467
EC-249,+ade,0.6060606060606061,0.0880782271460448
EC-249,+ade,0.8080808080808081,0.02421919433575017
EC-249,+ade,1.0101010101010102,0.09905187830118352
EC-249,+ade,1.2121212121212122,0.11524085181880828
EC-249,+ade,1.4141414141414141,0.03262667578414531
EC-249,+ade,1.6161616161616161,0.0961774924720341
EC-249,+ade,1.8181818181818181,0.14317136594096494
EC-249,+ade,2.0202020202020203,0.07087267724570613
EC-249,+ade,2.2222222222222223,0.1252728950862927
EC-249,+ade,2.4242424242424243,0.13408177509335062
EC-249,+ade,2.6262626262626263,0.17113011935050784
EC-249,+ade,2.8282828282828283,0.11096867577973354
EC-249,+ade,3.0303030303030303,0.2271378278587371
EC-249,+ade,3.2323232323232323,0.2714365412099258
EC-249,+ade,3.4343434343434343,0.1889441026456154
EC-249,+ade,3.6363636363636362,0.26101344830300094
EC-249,+ade,3.8383838383838382,0.27165846295269663
EC-249,+ade,4.040404040404041,0.31564954262718414
EC-249,+ade,4.242424242424242,0.30177528091971967
EC-249,+ade,4.444444444444445,0.3982638937752664
EC-249,+ade,4.646464646464646,0.3860610599508527
EC-249,+ade,4.848484848484849,0.347912955779216
EC-249,+ade,5.05050505050505,0.47352472458746614
EC-249,+ade,5.252525252525253,0.4905757222119753
EC-249,+ade,5.454545454545454,0.44451226592981885
EC-249,+ade,5.656565656565657,0.6290946410826908
EC-249,+ade,5.858585858585858,0.7233693625280365
EC-249,+ade,6.0606060606060606,0.7053495227075159
EC-249,+ade,6.262626262626262,0.5974830068105043
EC-249,+ade,6.4646464646464645,0.7815657144746182
EC-249,+ade,6.666666666666667,0.7533171827747643
EC-249,+ade,6.8686868686868685,0.7992356535047245
EC-249,+ade,7.070707070707071,0.8926393079756567
EC-249,+ade,7.2727272727272725,0.8906277277555755
EC-249,+ade,7.474747474747475,0.9907749514400929
EC-249,+ade,7.6767676767676765,1.0183724210628644
EC-249,+ade,7.878787878787879,1.0972792032864345
EC-249,+ade,8.080808080808081,1.1380875452164905
EC-249,+ade,8.282828282828282,1.1712949942560453
EC-249,+ade,8.484848484848484,1.2702598499619007
EC-249,+ade,8.686868686868687,1.2047828799171512
EC-249,+ade,8.88888888888889,1.3438984984266542
EC-249,+ade,9.09090909090909,1.2399264333857305
EC-249,+ade,9.292929292929292,1.3994789724769512
EC-249,+ade,9.494949494949495,1.4264333473662023
EC-249,+ade,9.696969696969697,1.4073521097291766
EC-249,+ade,9.8989898989899,1.3715530198687094
EC-249,+ade,10.1010101010101,1.4877654340835373
EC-249,+ade,10.303030303030303,1.4846935135525965
EC-249,+ade,10.505050505050505,1.5539892039547778
EC-249,+ade,10.707070707070708,1.459985038502445
EC-249,+ade,10.909090909090908,1.6063304786866066
EC-249,+ade,11.11111111111111,1.5915982760402783
EC-249,+ade,11.313131313131313,1.5670703667767503
EC-249,+ade,11.515151515151516,1.6057170301917747
EC-249,+ade,11.717171717171716,1.6198241078230962
EC-249,+ade,11.919191919191919,1.6964022322372467
EC-249,+ade,12.121212121212121,1.7081959432048126
EC-249,+ade,12.323232323232324,1.699649240151828
EC-249,+ade,12.525252525252524,1.6926731892483045
EC-249,+ade,12.727272727272727,1.640516528711263
EC-249,+ade,12.929292929292929,1.7302781328871883
EC-249,+ade,13.131313131313131,1.5789059751629904
EC-249,+ade,13.333333333333334,1.7067528051405356
EC-249,+ade,13.535353535353535,1.765105424010956
EC-249,+ade,13.737373737373737,1.7774841799137429
EC-249,+ade,13.93939393939394,1.7699724193850186
EC-249,+ade,14.141414141414142,1.7392657228073032
EC-249,+ade,14.343434343434343,1.7418184739889109
EC-249,+ade,14.545454545454545,1.7718270302859365
EC-249,+ade,14.747474747474747,1.7880308241638323
EC-249,+ade,14.94949494949495,1.8214680312958649
EC-249,+ade,15.15151515151515,1.8362971339546623
EC-249,+ade,15.353535353535353,1.8338364484191823
EC-249,+ade,15.555555555555555,1.7532308060400543
EC-249,+ade,15.757575757575758,1.779252516590239
EC-249,+ade,15.959595959595958,1.882821480814337
EC-249,+ade,16.161616161616163,1.8357227792508088
EC-249,+ade,16.363636363636363,1.7693388846826679
EC-249,+ade,16.565656565656564,1.7888652448795301
EC-249,+ade,16.767676767676768,1.7757057733558743
EC-249,+ade,16.96969696969697,1.712060881763978
EC-249,+ade,17.171717171717173,1.8210794218969855
EC-249,+ade,17.373737373737374,1.7930055059283705
EC-249,+ade,17.575757575757574,1.698484314671899
EC-249,+ade,17.77777777777778,1.8729838328269968
EC-249,+ade,17.97979797979798,1.8662323789994852
EC-249,+ade,18.18181818181818,1.826168851132836
EC-249,+ade,18.383838383838384,1.8196766530344668
EC-249,+ade,18.585858585858585,1.7999858028343212
EC-249,+ade,18.78787878787879,1.8160168898202698
EC-249,+ade,18.98989898989899,1.9226674284114549
EC-249,+ade,19.19191919191919,1.8675359344506677
EC-249,+ade,19.393939393939394,1.757417528009078
EC-249,+ade,19.595959595959595,1.7869270889337756
EC-249,+ade,19.7979797979798,1.732996997140938
EC-249,+ade,20.0,1.776534244780749
EC-249,-ade,0.0,0.02794639427010044
EC-249,-ade,0.20202020202020202,0.045783296502178904
EC-249,-ade,0.40404040404040403,0.03747035596548631
EC-249,-ade,0.6060606060606061,-0.01342581614212926
EC-249,-ade,0.8080808080808081,-0.025848012452845168
EC-249,-ade,1.0101010101010102,0.07059044179193018
EC-249,-ade,1.2121212121212122,-0.03321932451066427
EC-249,-ade,1.4141414141414141,0.08885293042115433
EC-249,-ade,1.6161616161616161,0.0805712174539844
EC-249,-ade,1.8181818181818181,0.11143482744228096
EC-249,-ade,2.0202020202020203,0.03969923381805726
EC-249,-ade,2.2222222222222223,0.09523632351313042
EC-249,-ade,2.4242424242424243,0.06826679108183176
EC-249,-ade,2.6262626262626263,0.0033057430610618915
EC-249,-ade,2.8282828282828283,0.142411708560752
EC-249,-ade,3.0303030303030303,0.1799715145532513
EC-249,-ade,3.2323232323232323,0.1576228475135682
EC-249,-ade,3.4343434343434343,0.07347071950545646
EC-249,-ade,3.6363636363636362,0.2449598137667294
EC-249,-ade,3.8383838383838382,0.16588895309220453
EC-249,-ade,4.040404040404041,0.04297249602272821
EC-249,-ade,4.242424242424242,0.10151051744106332
EC-249,-ade,4.444444444444445,0.06987537312786478
EC-249,-ade,4.646464646464646,0.17678106028616714
EC-249,-ade,4.848484848484849,0.12335773089127162
EC-249,-ade,5.05050505050505,0.1915114757987843
EC-249,-ade,5.252525252525253,0.20934946889485645
EC-249,-ade,5.454545454545454,0.20600980694419121
EC-249,-ade,5.656565656565657,0.14868308381921475
EC-249,-ade,5.858585858585858,0.1923874081670745
EC-249,-ade,6.0606060606060606,0.19919297597352026
EC-249,-ade,6.262626262626262,0.09484354345141788
EC-249,-ade,6.4646464646464645,0.09210367918688335
EC-249,-ade,6.666666666666667,0.20900248466113405
EC-249,-ade,6.8686868686868685,0.16734344321306588
EC-249,-ade,7.070707070707071,0.17680135288372412
EC-249,-ade,7.2727272727272725,0.13752463471606555
EC-249,-ade,7.474747474747475,0.13835885036683637
EC-249,-ade,7.6767676767676765,0.13190690348699882
EC-249,-ade,7.878787878787879,0.14719586160245018
EC-249,-ade,8.080808080808081,0.13817924967306996
EC-249,-ade,8.282828282828282,0.0995975926820987
EC-249,-ade,8.484848484848484,0.2045416146144819
EC-249,-ade,8.686868686868687,0.14097062915664935
EC-249,-ade,8.88888888888889,0.21841994392880487
EC-249,-ade,9.09090909090909,0.10807956008604488
EC-249,-ade,9.292929292929292,0.21832057949328237
EC-249,-ade,9.494949494949495,0.26028307092325015
EC-249,-ade,9.696969696969697,0.20434687316023653
EC-249,-ade,9.8989898989899,0.21507391073873985
EC-249,-ade,10.1010101010101,0.214527199047817
EC-249,-ade,10.303030303030303,0.18755185602591234
EC-249,-ade,10.505050505050505,0.14143063351335164
EC-249,-ade,10.707070707070708,0.12147048580937937
EC-249,-ade,10.909090909090908,0.17085837664494288
EC-249,-ade,11.11111111111111,0.19302330097445897
EC-249,-ade,11.313131313131313,0.1636490052293783
EC-249,-ade,11.515151515151516,0.21399026414212508
EC-249,-ade,11.717171717171716,0.24815828649389635
EC-249,-ade,11.919191919191919,0.15753234354765305
EC-249,-ade,12.121212121212121,0.19134911753121323
EC-249,-ade,12.323232323232324,0.21900423903867003
EC-249,-ade,12.525252525252524,0.2545337165069942
EC-249,-ade,12.727272727272727,0.19366188460148553
EC-249,-ade,12.929292929292929,0.2197426227882404
EC-249,-ade,13.131313131313131,0.22772325607649224
EC-249,-ade,13.333333333333334,0.10595827614068876
EC-249,-ade,13.535353535353535,0.18127141316972567
EC-249,-ade,13.737373737373737,0.12504245721172424
EC-249,-ade,13.93939393939394,0.23621073623765196
EC-249,-ade,14.141414141414142,0.28086706781797616
